"Step","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed3407_merge - eval/avg episode reward","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed3407_merge - eval/avg episode reward__MIN","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed3407_merge - eval/avg episode reward__MAX","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed42_merge - eval/avg episode reward","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed42_merge - eval/avg episode reward__MIN","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed42_merge - eval/avg episode reward__MAX","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed0_merge - eval/avg episode reward","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed0_merge - eval/avg episode reward__MIN","2025-05-01_14-00-20_walker2d-medium-v2_ppo_shortcut_mlp_td4_td4_seed0_merge - eval/avg episode reward__MAX","2025-04-29_20-43-19_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_seed3407 - eval/avg episode reward","2025-04-29_20-43-19_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_seed3407 - eval/avg episode reward__MIN","2025-04-29_20-43-19_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_seed3407 - eval/avg episode reward__MAX","2025-04-29_20-43-13_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_seed0 - eval/avg episode reward","2025-04-29_20-43-13_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_seed0 - eval/avg episode reward__MIN","2025-04-29_20-43-13_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_seed0 - eval/avg episode reward__MAX","2025-04-28_22-04-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-04-28_22-04-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-04-28_22-04-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-04-28_22-04-31_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-04-28_22-04-31_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-04-28_22-04-31_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-04-28_22-04-18_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-04-28_22-04-18_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-04-28_22-04-18_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-04-16_20-03-21_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_mlp_ta4_td20_tdf4_seed42 - eval/avg episode reward","2025-04-16_20-03-21_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_mlp_ta4_td20_tdf4_seed42 - eval/avg episode reward__MIN","2025-04-16_20-03-21_walker2d-medium-v2_ppo_diffusion_DDIM_4steps_mlp_ta4_td20_tdf4_seed42 - eval/avg episode reward__MAX","2025-03-29_21-28-47_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval","2025-03-29_21-28-47_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN","2025-03-29_21-28-47_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX","11-20-23_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval","11-20-23_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN","11-20-23_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX","11-19-45_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval","11-19-45_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN","11-19-45_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX"
"0","2832.0712587921353","2832.0712587921353","2832.0712587921353","3019.0936627923143","3019.0936627923143","3019.0936627923143","2975.6208968536494","2975.6208968536494","2975.6208968536494","2448.213857357643","2448.213857357643","2448.213857357643","2239.2667250894433","2239.2667250894433","2239.2667250894433","2784.309005777549","2784.309005777549","2784.309005777549","2898.775930334714","2898.775930334714","2898.775930334714","2868.0375924446816","2868.0375924446816","2868.0375924446816","2356.898037270008","2356.898037270008","2356.898037270008","2803.5174779083814","2803.5174779083814","2803.5174779083814","2789.0728578487006","2789.0728578487006","2789.0728578487006","2956.6758052955965","2956.6758052955965","2956.6758052955965"
"10","3536.6989959749417","3536.6989959749417","3536.6989959749417","3291.293220041882","3291.293220041882","3291.293220041882","3672.326152129711","3672.326152129711","3672.326152129711","2598.1646567799053","2598.1646567799053","2598.1646567799053","2788.8968099120584","2788.8968099120584","2788.8968099120584","3478.7925115968565","3478.7925115968565","3478.7925115968565","3438.4730399869877","3438.4730399869877","3438.4730399869877","3495.98030445732","3495.98030445732","3495.98030445732","2487.2397996070404","2487.2397996070404","2487.2397996070404","3254.1189134601273","3254.1189134601273","3254.1189134601273","3160.8612347348503","3160.8612347348503","3160.8612347348503","3319.061823334751","3319.061823334751","3319.061823334751"
"20","3797.5378968147525","3797.5378968147525","3797.5378968147525","3824.7775069674112","3824.7775069674112","3824.7775069674112","3716.961292690755","3716.961292690755","3716.961292690755","2909.921411153992","2909.921411153992","2909.921411153992","2963.224821799273","2963.224821799273","2963.224821799273","3553.76981305973","3553.76981305973","3553.76981305973","3535.700611366546","3535.700611366546","3535.700611366546","3544.5591059019544","3544.5591059019544","3544.5591059019544","2901.0072579884545","2901.0072579884545","2901.0072579884545","3529.917003638412","3529.917003638412","3529.917003638412","3419.9013362627024","3419.9013362627024","3419.9013362627024","3539.4124317265014","3539.4124317265014","3539.4124317265014"
"30","3792.9136255363146","3792.9136255363146","3792.9136255363146","3922.359962459674","3922.359962459674","3922.359962459674","3803.112294679515","3803.112294679515","3803.112294679515","3273.748725108197","3273.748725108197","3273.748725108197","3047.887585793328","3047.887585793328","3047.887585793328","3583.5315960683756","3583.5315960683756","3583.5315960683756","3448.971542599361","3448.971542599361","3448.971542599361","3622.2804091444996","3622.2804091444996","3622.2804091444996","3112.9757510134323","3112.9757510134323","3112.9757510134323","3566.899282142125","3566.899282142125","3566.899282142125","3545.039146298276","3545.039146298276","3545.039146298276","3558.83408645764","3558.83408645764","3558.83408645764"
"40","3755.197081049563","3755.197081049563","3755.197081049563","3964.1739218039825","3964.1739218039825","3964.1739218039825","3818.107697430107","3818.107697430107","3818.107697430107","3439.8948801152037","3439.8948801152037","3439.8948801152037","3286.676393717804","3286.676393717804","3286.676393717804","3490.4788846833953","3490.4788846833953","3490.4788846833953","3587.497383845355","3587.497383845355","3587.497383845355","3650.7050041144475","3650.7050041144475","3650.7050041144475","3271.995874931584","3271.995874931584","3271.995874931584","3671.2379349059897","3671.2379349059897","3671.2379349059897","3626.5619255606043","3626.5619255606043","3626.5619255606043","3516.430323565814","3516.430323565814","3516.430323565814"
"50","3714.6199393094103","3714.6199393094103","3714.6199393094103","3968.424739733543","3968.424739733543","3968.424739733543","3759.9779315593637","3759.9779315593637","3759.9779315593637","3343.0586535191733","3343.0586535191733","3343.0586535191733","3539.0972021894295","3539.0972021894295","3539.0972021894295","3632.532919029596","3632.532919029596","3632.532919029596","3612.275820406273","3612.275820406273","3612.275820406273","3699.2604432276194","3699.2604432276194","3699.2604432276194","3440.2850963844626","3440.2850963844626","3440.2850963844626","3695.1443423893097","3695.1443423893097","3695.1443423893097","3605.4447687869338","3605.4447687869338","3605.4447687869338","3504.1390413578606","3504.1390413578606","3504.1390413578606"
"60","3797.1394652106974","3797.1394652106974","3797.1394652106974","3932.4969875560214","3932.4969875560214","3932.4969875560214","3718.2643146061323","3718.2643146061323","3718.2643146061323","3354.8558443187694","3354.8558443187694","3354.8558443187694","3558.317315507699","3558.317315507699","3558.317315507699","3680.9428781540423","3680.9428781540423","3680.9428781540423","3716.351384672642","3716.351384672642","3716.351384672642","3731.750029473277","3731.750029473277","3731.750029473277","3467.635312872825","3467.635312872825","3467.635312872825","3729.1067399232243","3729.1067399232243","3729.1067399232243","3787.1266582541443","3787.1266582541443","3787.1266582541443","3460.599827226054","3460.599827226054","3460.599827226054"
"70","3775.0495463330017","3775.0495463330017","3775.0495463330017","3939.118266569746","3939.118266569746","3939.118266569746","3711.9401539224227","3711.9401539224227","3711.9401539224227","3531.6939692993496","3531.6939692993496","3531.6939692993496","3525.818933423047","3525.818933423047","3525.818933423047","3773.291277393296","3773.291277393296","3773.291277393296","3769.338093448913","3769.338093448913","3769.338093448913","3731.6464308842505","3731.6464308842505","3731.6464308842505","3394.3127894512195","3394.3127894512195","3394.3127894512195","3700.432244666043","3700.432244666043","3700.432244666043","3666.383168543817","3666.383168543817","3666.383168543817","3467.9023886164505","3467.9023886164505","3467.9023886164505"
"80","3834.4930458208155","3834.4930458208155","3834.4930458208155","3963.146894316885","3963.146894316885","3963.146894316885","3789.306203236808","3789.306203236808","3789.306203236808","3594.874363875031","3594.874363875031","3594.874363875031","3543.2484992163536","3543.2484992163536","3543.2484992163536","3796.9550031418084","3796.9550031418084","3796.9550031418084","3807.9581831544433","3807.9581831544433","3807.9581831544433","3779.749278362861","3779.749278362861","3779.749278362861","3417.737123272178","3417.737123272178","3417.737123272178","3636.851091493861","3636.851091493861","3636.851091493861","3711.6641588188686","3711.6641588188686","3711.6641588188686","3433.1688778232274","3433.1688778232274","3433.1688778232274"
"90","3829.0809943685176","3829.0809943685176","3829.0809943685176","3951.0004574376244","3951.0004574376244","3951.0004574376244","3818.7447991942936","3818.7447991942936","3818.7447991942936","3380.7666833691887","3380.7666833691887","3380.7666833691887","3454.961526414748","3454.961526414748","3454.961526414748","3872.227489667338","3872.227489667338","3872.227489667338","3838.687101876721","3838.687101876721","3838.687101876721","3803.697479481729","3803.697479481729","3803.697479481729","3466.0306841236743","3466.0306841236743","3466.0306841236743","3590.3022674808185","3590.3022674808185","3590.3022674808185","3751.0683273438926","3751.0683273438926","3751.0683273438926","3349.50481719905","3349.50481719905","3349.50481719905"
